timestamp,x,y,z
1762444460.9790807,-30.0,-50.32804489135742,-14.04063606262207
1762444463.1082077,-29.956119537353516,-51.43846893310547,-17.983753204345703
1762444465.3357418,-29.475637435913086,-48.91388702392578,-18.015737533569336
1762444467.5441766,-28.796180725097656,-45.7779426574707,-18.011667251586914
1762444469.8368306,-26.64577865600586,-43.398250579833984,-18.077749252319336
1762444472.1413157,-26.50263214111328,-40.2924690246582,-18.159082412719727
1762444474.404837,-28.839147567749023,-38.52092742919922,-18.32744789123535
1762444476.591766,-28.956743240356445,-38.10218811035156,-18.435693740844727
1762444478.8324943,-28.940134048461914,-38.05793762207031,-18.448379516601562
1762444480.9925954,-28.940134048461914,-38.05793762207031,-18.448379516601562
1762444483.1550057,-28.923749923706055,-38.069068908691406,-18.46211814880371
1762444485.2969966,-28.90132713317871,-38.06929016113281,-18.478254318237305
1762444490.6061788,-35.37633514404297,-35.46391296386719,-22.88500213623047
1762444492.716178,-34.93775939941406,-33.31794738769531,-23.01046371459961
1762444494.9056218,-35.70777130126953,-30.610502243041992,-23.12566566467285
1762444497.06711,-34.58330535888672,-27.956485748291016,-23.20846176147461
1762444499.2853992,-33.78518295288086,-24.86772346496582,-23.217193603515625
1762444501.5478501,-32.70305633544922,-21.732797622680664,-23.21306037902832
1762444503.8420424,-31.70060920715332,-18.512117385864258,-23.20936393737793
1762444506.047823,-30.211050033569336,-15.72054672241211,-23.213050842285156
1762444508.2524192,-29.456483840942383,-12.899873733520508,-23.217992782592773
1762444510.35935,-27.255645751953125,-11.489386558532715,-23.328468322753906
1762444512.4367108,-26.442838668823242,-8.777697563171387,-23.49183464050293
1762444514.620315,-25.958106994628906,-5.5495476722717285,-23.493024826049805
1762444516.7804089,-25.09284782409668,-2.770890712738037,-23.48943519592285
1762444518.9650352,-24.1771240234375,0.5259851813316345,-23.48271369934082
